"[[[65.0, 90.0, 2.2222222222222223], [77.0, 90.0, 1.6666666666666667], [77.0, 90.0, 0.5555555555555556], [76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112]]]",19,306,326
"[[[67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667]]]",129,"['100', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556]]]",130,"['101', 'T']"
"[[[64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112]]]",131,"['102', 'T']"
"[[[65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223]]]",132,"['103', 'T']"
"[[[67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112]]]",133,"['104', 'T']"
"[[[67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 4.444444444444445]]]",134,"['105', 'T']"
"[[[60.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556]]]",163,"['188', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",164,"['189', 'T']"
"[[[58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556]]]",165,"['190', 'T']"
"[[[57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112]]]",166,"['191', 'T']"
"[[[57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112]]]",167,"['192', 'T']"
"[[[58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223]]]",168,"['193', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112]]]",169,"['194', 'T']"
"[[[62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112]]]",170,"['195', 'T']"
"[[[64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112]]]",171,"['196', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223]]]",172,"['197', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556]]]",173,"['198', 'T']"
"[[[63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",174,"['199', 'T']"
"[[[63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112]]]",175,"['200', 'T']"
"[[[62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112]]]",176,"['201', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223]]]",177,"['202', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [60.0, 90.0, 2.2222222222222223]]]",178,"['203', 'T']"
"[[[62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [60.0, 90.0, 2.2222222222222223], [60.0, 90.0, 2.2222222222222223]]]",179,"['204', 'T']"
"[[[60.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556]]]",188,"['163', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",189,"['164', 'T']"
"[[[58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556]]]",190,"['165', 'T']"
"[[[57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112]]]",191,"['166', 'T']"
"[[[57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112]]]",192,"['167', 'T']"
"[[[58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223]]]",193,"['168', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112]]]",194,"['169', 'T']"
"[[[62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112]]]",195,"['170', 'T']"
"[[[64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112]]]",196,"['171', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223]]]",197,"['172', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556]]]",198,"['173', 'T']"
"[[[63.0, 90.0, 1.1111111111111112], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",199,"['174', 'T']"
"[[[63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112]]]",200,"['175', 'T']"
"[[[62.0, 90.0, 2.2222222222222223], [67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112]]]",201,"['176', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223]]]",202,"['177', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [60.0, 90.0, 2.2222222222222223]]]",203,"['178', 'T']"
"[[[62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [62.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [60.0, 90.0, 2.2222222222222223], [60.0, 90.0, 4.444444444444445]]]",204,"['179', 'T']"
"[[[48.0, 90.0, 1.1111111111111112], [53.0, 90.0, 1.6666666666666667], [55.0, 90.0, 0.5555555555555556], [57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223]]]",240,"['262', 'T']"
"[[[53.0, 90.0, 1.6666666666666667], [55.0, 90.0, 0.5555555555555556], [57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112]]]",241,"['263', 'T']"
"[[[55.0, 90.0, 0.5555555555555556], [57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112]]]",242,"['264', 'T']"
"[[[57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112]]]",243,"['265', 'T']"
"[[[58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112]]]",244,"['266', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112]]]",245,"['267', 'T']"
"[[[62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112]]]",246,"['268', 'T']"
"[[[55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112]]]",247,"['269', 'T']"
"[[[60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556]]]",248,"['270', 'T']"
"[[[59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556]]]",249,"['271', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223]]]",250,"['272', 'T']"
"[[[57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223], [57.0, 90.0, 1.1111111111111112]]]",251,"['273', 'T']"
"[[[58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223], [57.0, 90.0, 1.1111111111111112], [55.0, 90.0, 2.2222222222222223]]]",252,"['274', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223], [57.0, 90.0, 1.1111111111111112], [55.0, 90.0, 2.2222222222222223], [53.0, 90.0, 2.2222222222222223]]]",253,"['275', 'T']"
"[[[48.0, 90.0, 1.1111111111111112], [53.0, 90.0, 1.6666666666666667], [55.0, 90.0, 0.5555555555555556], [57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223]]]",262,"['240', 'T']"
"[[[53.0, 90.0, 1.6666666666666667], [55.0, 90.0, 0.5555555555555556], [57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112]]]",263,"['241', 'T']"
"[[[55.0, 90.0, 0.5555555555555556], [57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112]]]",264,"['242', 'T']"
"[[[57.0, 90.0, 0.5555555555555556], [58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112]]]",265,"['243', 'T']"
"[[[58.0, 90.0, 0.5555555555555556], [60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112]]]",266,"['244', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112]]]",267,"['245', 'T']"
"[[[62.0, 90.0, 2.2222222222222223], [55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112]]]",268,"['246', 'T']"
"[[[55.0, 90.0, 1.1111111111111112], [60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112]]]",269,"['247', 'T']"
"[[[60.0, 90.0, 2.2222222222222223], [59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556]]]",270,"['248', 'T']"
"[[[59.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556]]]",271,"['249', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223]]]",272,"['250', 'T']"
"[[[57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223], [57.0, 90.0, 1.1111111111111112]]]",273,"['251', 'T']"
"[[[58.0, 90.0, 1.1111111111111112], [60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223], [57.0, 90.0, 1.1111111111111112], [55.0, 90.0, 2.2222222222222223]]]",274,"['252', 'T']"
"[[[60.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.1111111111111112], [55.0, 90.0, 0.5555555555555556], [55.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223], [57.0, 90.0, 1.1111111111111112], [55.0, 90.0, 2.2222222222222223], [53.0, 90.0, 4.444444444444445]]]",275,"['253', 'T']"
"[[[48.0, 90.0, 1.1111111111111112], [41.0, 90.0, 1.1111111111111112], [53.0, 90.0, 1.6666666666666667], [53.0, 90.0, 0.5555555555555556], [52.0, 90.0, 1.1111111111111112], [50.0, 90.0, 3.3333333333333335], [48.0, 90.0, 1.1111111111111112], [46.0, 90.0, 0.5555555555555556], [46.0, 90.0, 0.5555555555555556]]]",305,"['325', 'T']"
"[[[41.0, 90.0, 1.1111111111111112], [53.0, 90.0, 1.6666666666666667], [53.0, 90.0, 0.5555555555555556], [52.0, 90.0, 1.1111111111111112], [50.0, 90.0, 3.3333333333333335], [48.0, 90.0, 1.1111111111111112], [46.0, 90.0, 0.5555555555555556], [46.0, 90.0, 0.5555555555555556], [58.0, 90.0, 2.2222222222222223]]]",306,"['326', 'T']"
